Prescribed_for,DrugName_list,Disease,Symptoms,Symptoms_Length,Number_of_Drugs,Preprocessed_Symptoms
"Ulcerative Colitis, Active","Mesalamine,Lialda,Balsalazide,Asacol HD,Cyclosporine,Budesonide,Asacol",Ulcerative colitis,"Abdominal pain , diarrhea mixed with blood , weight loss , fever , anemia , dehydration , loss of appetite, fatigue , sores on the skin, urgency to defecate, inability to defecate despite urgency, rectal pain",208,7,abdominal pain diarrhea mixed blood weight loss fever anemia dehydration loss appetite fatigue sore skin urgency defecate inability defecate despite urgency rectal pain
"Ulcerative Colitis, Maintenance","Asacol,Asacol HD,Apriso,Mercaptopurine,Mesalamine",Ulcerative colitis,"Abdominal pain , diarrhea mixed with blood , weight loss , fever , anemia , dehydration , loss of appetite, fatigue , sores on the skin, urgency to defecate, inability to defecate despite urgency, rectal pain",208,5,abdominal pain diarrhea mixed blood weight loss fever anemia dehydration loss appetite fatigue sore skin urgency defecate inability defecate despite urgency rectal pain
Ulcerative Proctitis,"Pentasa,Canasa,Mesalamine",Proctitis,"['A common symptom is a continual urge to have a bowel movement—the rectum could feel full or have constipation. Another is tenderness and mild irritation in the rectum and anal region. A serious symptom is pus and blood in the discharge ', 'accompanied by cramps and pain during the bowel movement. If there is severe bleeding', 'anemia can result', 'showing symptoms such as pale skin', 'irritability', 'weakness', 'dizziness', 'brittle nails', 'and shortness of breath.']",474,3,common symptom continual urge bowel movement—the rectum could feel full constipation another tenderness mild irritation rectum anal region serious symptom pu blood discharge accompanied cramp pain bowel movement severe bleeding anemia result showing symptom pale skin irritability weakness dizziness brittle nail shortness breath
Underactive Thyroid,"Levothyroxine,Liothyronine,Thyroid desiccated,NP Thyroid,Armour Thyroid,Synthroid,Levoxyl,WP Thyroid,Tirosint",Hypothyroidism,"Poor ability to tolerate cold, feeling tired, constipation , weight gain, depression , anxiety , irritability",109,9,poor ability tolerate cold feeling tired constipation weight gain depression anxiety irritability
Undifferentiated Connective Tissue Disease,Hydroxychloroquine,Undifferentiated connective tissue disease,"dry eyes, dry mouth, haïr lost, joint inflammation, joint pain, mouth ulcers, positive ANA test, raynaud's phenomenon, sun-sensitive rash, ...",142,1,dry eye dry mouth haïr lost joint inflammation joint pain mouth ulcer positive ana test raynauds phenomenon sunsensitive rash
Upper Limb Spasticity,OnabotulinumtoxinA,Hereditary spastic paraplegia,"['Symptoms depend on the type of HSP inherited. The main feature of the disease is progressive spasticity in the lower limbs due to pyramidal tract dysfunction. This also results in brisk reflexes', 'extensor plantar reflexes', 'muscle weakness', 'and variable bladder disturbances. Furthermore', 'among the core symptoms of HSP are also included abnormal gait and difficulty in walking', 'decreased vibratory sense at the ankles', 'and paresthesia . Individuals with HSP can experience extreme fatigue associated with central nervous system and neuromuscular disorders', 'which can be disabling. Initial symptoms are typically difficulty with balance', 'stubbing the toe or stumbling. Symptoms of HSP may begin at any age', 'from infancy to older than 60 years. If symptoms begin during the teenage years or later', 'then spastic gait disturbance usually progresses over many years. Canes', 'walkers', 'and wheelchairs may eventually be required', 'although some people never require assistance devices. Disability has been described as progressing more rapidly in adult onset forms.']",1086,1,symptom depend type hsp inherited main feature disease progressive spasticity lower limb due pyramidal tract dysfunction also result brisk reflex extensor plantar reflex muscle weakness variable bladder disturbance furthermore among core symptom hsp also included abnormal gait difficulty walking decreased vibratory sense ankle paresthesia individual hsp experience extreme fatigue associated central nervous system neuromuscular disorder disabling initial symptom typically difficulty balance stubbing toe stumbling symptom hsp may begin age infancy older 60 year symptom begin teenage year later spastic gait disturbance usually progress many year cane walker wheelchair may eventually required although people never require assistance device disability described progressing rapidly adult onset form
Upper Respiratory Tract Infection,"Doryx,Azithromycin Dose Pack,Amoxicillin / clavulanate,Augmentin,Clarithromycin,Amoxicillin,Doxycycline,Azithromycin,Erythromycin,Zithromax,Cephalexin,Cefuroxime,Ceftin,Cefpodoxime,Sulfamethoxazole / trimethoprim,Keflex,E.E.S.-400",Upper respiratory tract infection,"['In uncomplicated colds', 'coughing and nasal discharge may persist for 14 days or more even after other symptoms have resolved. Acute URTIs include rhinitis ', 'pharyngitis/tonsillitis', 'and laryngitis often referred to as a common cold', 'and their complications: sinusitis ', 'ear infection ', 'and sometimes bronchitis (though bronchi are generally classified as part of the lower respiratory tract.) Symptoms of URTIs commonly include cough ', 'sore throat ', 'runny nose ', 'nasal congestion ', 'headache ', 'low-grade fever ', 'facial pressure', 'and sneezing .']",572,17,uncomplicated cold coughing nasal discharge may persist 14 day even symptom resolved acute urtis include rhinitis pharyngitistonsillitis laryngitis often referred common cold complication sinusitis ear infection sometimes bronchitis though bronchus generally classified part lower respiratory tract symptom urtis commonly include cough sore throat runny nose nasal congestion headache lowgrade fever facial pressure sneezing
Urinary Incontinence,"VESIcare,Oxybutynin,Trospium,Duloxetine,Mirabegron,Sanctura XR,Sanctura,Oxytrol,OnabotulinumtoxinA,Solifenacin,Hyoscyamine,Darifenacin,Enablex,Myrbetriq,Toviaz,Fesoterodine",Overactive bladder,"Frequent feeling of needing to urinate , incontinence",53,16,frequent feeling needing urinate incontinence
Urinary Retention,Bethanechol,Urinary retention,"Sudden onset : Inability to urinate, low abdominal pain Long term : Frequent urination, loss of bladder control, urinary tract infection",136,1,sudden onset inability urinate low abdominal pain long term frequent urination loss bladder control urinary tract infection
Urinary Tract Infection,"Bactrim,Ciprofloxacin,Macrobid,Cipro,Sulfamethoxazole / trimethoprim,Hiprex,Cefuroxime,Bactrim DS,Nitrofurantoin,Rocephin,Ceftin,Levaquin,Amoxicillin,Trimethoprim,Uribel,Ceftriaxone,Lactobacillus acidophilus,Levofloxacin,Macrodantin,Hyoscyamine / methenamine / methylene blue / phenyl salicylate / sodium biphosphate,Doripenem,Doxycycline,Doribax,Cefixime,Unasyn,SMZ-TMP DS,Amoxicillin / clavulanate,Methenamine,Septra,Vibramycin,Hyoscyamine / methenamine / methylene blue / phenyl salicylate",Urinary tract infection,"Pain with urination , frequent urination, feeling the need to urinate despite having an empty bladder",101,31,pain urination frequent urination feeling need urinate despite empty bladder
Urinary Tract Stones,"Tamsulosin,Flomax,Allopurinol",Kidney stone disease,"Severe pain in the lower back or abdomen, blood in the urine, vomiting, nausea",78,3,severe pain lower back abdomen blood urine vomiting nausea
Urticaria,"Xyzal,Cetirizine,Benadryl Allergy,Zyrtec,Loratadine,Fexofenadine,Levocetirizine,Omalizumab,Doxepin,Clarinex,Xolair,Allegra,Cyproheptadine,Diphenhydramine",Hives,"Red, raised, itchy bumps",24,14,red raised itchy bump
Uterine Bleeding,Progesterone,Abnormal uterine bleeding,"Irregular, abnormally frequent, prolonged, or excessive amounts of uterine bleeding",83,1,irregular abnormally frequent prolonged excessive amount uterine bleeding
Uterine Fibroids,"Lupron Depot,Leuprolide",Uterine fibroid,Painful or heavy periods,24,2,painful heavy period
Uveitis,"Durezol,Difluprednate,Infliximab,Dexamethasone",Uveitis,"Headaches, red eyes, blurred vision, photophobia, burning and redness of the eye",80,4,headache red eye blurred vision photophobia burning redness eye
Vaginal Yeast Infection,"Miconazole,Tioconazole,Terconazole,Monistat 3-Day Combination Pack,Fluconazole,Diflucan,Monistat 7,Monistat 7-Day Combination Pack,Sporanox,Lactobacillus acidophilus,Acidophilus,Gynazole-1,Ketoconazole,Terazol 3,Monistat 1-Day or Night Combination Pack,Vagistat-1",Vaginal yeast infection,"Vaginal itching, burning with urination , white and thick vaginal discharge , pain with sex, redness around the vagina",118,16,vaginal itching burning urination white thick vaginal discharge pain sex redness around vagina
Varicella-Zoste,"Valtrex,Valacyclovir",,nan,3,2,nan
Ventricular Arrhythmia,Betapace,Arrhythmia,"Palpitations , dizziness or lightheadedness , passing out , shortness of breath , chest pain , decreased level of consciousness",127,1,palpitation dizziness lightheadedness passing shortness breath chest pain decreased level consciousness
Ventricular Fibrillation,Amiodarone,Ventricular fibrillation,Cardiac arrest with loss of consciousness and no pulse,54,1,cardiac arrest loss consciousness pulse
Ventricular Tachycardia,"Inderal,Propafenone,Ethmozine,Tambocor",Ventricular tachycardia,"Lightheadedness, palpitations , chest pain",42,4,lightheadedness palpitation chest pain
Vertig,"Meclizine,Promethazine,Bonine",,nan,3,3,nan
Vitamin B12 Deficiency,"Vitamin B12,Cyanocobalamin",Vitamin B12 deficiency,"Decreased ability to think, feeling tired , depression , irritability, abnormal sensations , changes in reflexes",112,2,decreased ability think feeling tired depression irritability abnormal sensation change reflex
Vitamin D Deficiency,"Vitamin D2,Ergocalciferol",Vitamin D deficiency,Usually asymptomatic,20,2,usually asymptomatic
Vitamin/Mineral Supplementation and Deficiency,"Multivitamin with minerals,Multivitamin with iron,Chromium picolinate,Ferrous sulfate",Vitamin D deficiency,Usually asymptomatic,20,4,usually asymptomatic
Vitamin/Mineral Supplementation during Pregnancy/Lactation,"Prenatal Plus,Multivitamin, prenatal,CitraNatal 90 DHA,Prenatabs FA,Vitafol Ultra",Vitamin B6,,0,5,
Vulvodynia,"Nortriptyline,Gabapentin,Desipramine,Neurontin,Amitriptyline,Topiramate",Vulvodynia,"['Pain is the most notable symptom of vulvodynia', 'and can be characterized as a burning', 'stinging', 'irritation or sharp pain that occurs in the vulva and entrance to the vagina . It may be constant', 'intermittent or happen only when the vulva is touched', 'but vulvodynia usually has a long duration.']",308,6,pain notable symptom vulvodynia characterized burning stinging irritation sharp pain occurs vulva entrance vagina may constant intermittent happen vulva touched vulvodynia usually long duration
Warts,"Duofilm,Wart Remover",Wart,"skin growth usually occurring on the hands, feet, or genitals",61,2,skin growth usually occurring hand foot genitals
Wegener's Granulomatosis,Rituximab,Granulomatosis with polyangiitis,"['Initial signs are highly variable', 'and diagnosis can be severely delayed due to the nonspecific nature of the symptoms . In general', 'irritation and inflammation of the nose is the first sign in most people. Involvement of the upper respiratory tract ', 'such as the nose and sinuses ', 'is seen in nearly all people with GPA. Typical signs and symptoms of nose or sinus involvement include crusting around the nose', 'stuffiness', 'nosebleeds ', 'runny nose ', 'and saddle-nose deformity due to a hole in the septum of the nose . Inflammation of the outer layers of the eye ( scleritis and episcleritis ) and conjunctivitis are the most common signs of GPA in the eye; involvement of the eyes is common and occurs in slightly more than half of people with the disease.']",776,1,initial sign highly variable diagnosis severely delayed due nonspecific nature symptom general irritation inflammation nose first sign people involvement upper respiratory tract nose sinus seen nearly people gpa typical sign symptom nose sinus involvement include crusting around nose stuffiness nosebleed runny nose saddlenose deformity due hole septum nose inflammation outer layer eye scleritis episcleritis conjunctivitis common sign gpa eye involvement eye common occurs slightly half people disease
Weight Loss,"Contrave,Phentermine,Belviq,Adipex-P,Liraglutide,Qsymia,Phentermine / topiramate,Bupropion / naltrexone,Lorcaserin,Fastin,Saxenda,Victoza,Megestrol,Suprenza,Megace ES",,nan,3,15,nan
Wolff-Parkinson-White Syndrome,Flecainide,Wolff–Parkinson–White syndrome,"Abnormally fast heartbeat , palpitations , shortness of breath , lightheadedness, loss of consciousness",103,1,abnormally fast heartbeat palpitation shortness breath lightheadedness loss consciousness
